Time,Username,Tweets
2022-06-09 00:40:26+00:00,Korporasi Jabar,"b'Menentukan perangkat ajar terbaik menciptakan lingkungan belajar produktif, diskusikan dengan kami dgn menghubungi\xe2\x80\xa6 https://t.co/9t5Jox7dBo'"
2022-06-09 00:24:28+00:00,Jhansens ridho silalahi 045,b'Panitia sampah\n@cairkanterminkedua @nadiemmakarim  @KampusMerdeka'
2022-06-09 00:02:58+00:00,IPB,b'#PrestasiIPB \nMeniti langkah menuju yang terbaik bukanlah hal yang mudah\nNamun ini kan terus kulakukan demi cita-ci\xe2\x80\xa6 https://t.co/4im2AReCv6'
2022-06-08 23:14:03+00:00,Universitas Negeri Padang,b'Tim Panjat Tebing UNP Borong 5 Medali Emas https://t.co/LdtfsKdHyV\n#universitasnegeripadang\n#humasunp\xe2\x80\xa6 https://t.co/dDphWIPhOu'
2022-06-08 15:49:57+00:00,Dhit.,b'boleh deh kita sharing tentang program MBKM terutama PMM ya gezzz\n#AKMBergerak \n#AlumniKampusMerdeka \n#PMM\xe2\x80\xa6 https://t.co/j2gZN7igaf'
2022-06-08 14:40:45+00:00,sapere aude,b'@collegemenfess Cb pantau ignya aja ya @/kampusmerdeka.ri dsana bnyak info2 kl mau buka pendaftaran gelombang berikutnya'
2022-06-08 11:43:02+00:00,Teknik Elektro UMY,b'Sosialisasi Magang dan Studi Independen Bersertifikat (MSIB) Universitas Muhammadiyah Yogyakarta kembali \xf0\x9f\xa5\xb3\n\nCatat t\xe2\x80\xa6 https://t.co/N8cVFh1aKV'
2022-06-08 11:14:54+00:00,Gpp??,b'Heh ini gimanaa ?? Habis ini apa lagii?? \n#cairkantermin2 \n#kampusmerdeka \n#kampusmengajar3 https://t.co/2WXexz8iAA'
2022-06-08 08:45:19+00:00,MICRA indonesia,b'\xf0\x9f\x93\xa2 Kampus kamu ingin menciptakan mahasiswa #pengusaha sukses?\n\n\xf0\x9f\x8e\x93#MICRA Indonesia membuka peluang bagi universitas un\xe2\x80\xa6 https://t.co/bjl1PyvR43'
2022-06-08 08:29:00+00:00,Mohamad Zainudin,b'Info pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\n#kampusmerdeka\n#merdekabelajar\n#pmb\xe2\x80\xa6 https://t.co/nYi4czWzFC'
2022-06-08 08:13:24+00:00,Universitas Negeri Padang,b'Informasi Penerimaan Mahasiswa Baru Jalur Reguler Jenjang Program Diploma III dan Jalur Mandiri Dan Prestasi Jenjan\xe2\x80\xa6 https://t.co/FImWlwWhkW'
2022-06-08 06:27:53+00:00,HMGP PNJ,b'[ PENDAFTARAN KAMPUS MENGAJAR ANGKATAN 4 : KAMPUS MERDEKA ]\n\nLink Pendaftaran : \n\xf0\x9f\x94\x97https://t.co/ljkteI3rX5\n\nLink Dok\xe2\x80\xa6 https://t.co/tYsum0ka5z'
2022-06-08 06:05:16+00:00,HMIK UNDIP,b'Yuk segera daftarkan diri kamu untuk ikut bergabung bersama kami dengan mengakses laman MBKM di:\xe2\x80\xa6 https://t.co/Ipn8pYNkuZ'
2022-06-08 05:36:55+00:00,isfani,b'Semua stakeholder yang terlibat dalam pencairan uang saku KM3\nCairkan secepatnya uang saku kami yang telah dijanjik\xe2\x80\xa6 https://t.co/BPkGPJZKyf'
2022-06-08 05:16:34+00:00,Muhammad Ihsan,"b'Uang saku udah habis, termin 2 belum cair jugaa\xf0\x9f\x98\x8c\n#cairkantermin2 \n#kampusmengajar3 \n#kampusmerdeka\n#kampusmengajar'"
2022-06-08 05:00:56+00:00,Randy Akbar,b'Sudah lupa caranya makan nasi bagaimana.\n@Kemendikbudristek\n@KampusMerdeka\n@Kampusmengajar\n#cairkantermin2#cairkantermin2'
2022-06-08 04:31:18+00:00,candy,b'Termin 2 dimanakah engkau berada? \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\n\n#kampusmerdeka #kampusmengajar #KM3 #termin2 #cairkantermin2'
2022-06-08 04:10:20+00:00,universitasalirsyad,"b'#sobatUNAIC apabila kalian ingin bertanya seputar pendaftaran mahasiswa baru, bisa chat via whatsapp nomor dibawah\xe2\x80\xa6 https://t.co/4Zuoz5rAGN'"
2022-06-08 03:52:12+00:00,Labina,b'CAIRKAN TERMIN 2 KM 3!!! - Tandatangani Petisi! https://t.co/HyvCxfKM8l lewat @ChangeOrg_ID\n#cairkantermin2\xe2\x80\xa6 https://t.co/ZT2vTpRp4s'
2022-06-08 03:37:35+00:00,Labina,"b'Yuk bisa yuk, katanya janji bulan Mei Termin2 cair, trs janjinya 20 Hari kerja baru cair, ini udh bulan juni, kasia\xe2\x80\xa6 https://t.co/bRoM20jwC5'"
2022-06-08 02:38:38+00:00,Min Suga's Orange || Proof,b'@hellobabi__ @KampusMerdeka Harapan kita anak anak KM3 #cairkantermin2 #kampusmengajar #kampusmengajar3'
2022-06-08 02:36:43+00:00,Universitas Komputer Indonesia,"b'""BEM UNIKOM terpilih menjadi Koordinator Wilayah JABAR BEM SI 2022""\n\nBaca Selengkapnya: https://t.co/17SCLWKTJ6\xe2\x80\xa6 https://t.co/q1do6QErWC'"
2022-06-08 01:46:41+00:00,Universitas Negeri Padang,b'Hari Kedua POMProv 2022 Kontingen UNP Puncaki Klasemen dengan 46 Medali https://t.co/t9244kxENA\xe2\x80\xa6 https://t.co/8W3sSAghph'
2022-06-08 01:39:43+00:00,notname,b'@KampusMerdeka ini kapan ya termin 2 cairr plis dahh udah kurang gizi hampir 2 bulan lebih mau makan daging\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x80\xa6 https://t.co/RTHzKBaNoD'
2022-06-08 01:35:48+00:00,anjan,b'Jangan Sampek Terjerat PINJOL!!\n#cairkantermin2 #kampusmerdeka #KM3'
2022-06-08 01:34:27+00:00,candy,"b'Dan kami berharap untuk segera cairkan hak kami, cairkan termin 2 kami biar kami bisa maoan dengan layak di kota or\xe2\x80\xa6 https://t.co/iZYg7ngz1V'"
2022-06-08 01:32:41+00:00,candy,"b'Kami menunggu dari bulan mei dan saat ini sudah juni. Kami makan seadanya, dan teman teman kami ada yang hampir di\xe2\x80\xa6 https://t.co/f4CEHt2xpI'"
2022-06-08 01:31:03+00:00,candy,b'Kami di janjikan jika termin 2 akan di proses selama 20 hari kerja. Tapi sampai saat ini kami belum menerima termin\xe2\x80\xa6 https://t.co/FatHuRDjSr'
2022-06-08 01:29:39+00:00,candy,"b'Dengan uang saku juga kami harus bertahan untuk bayar kost, listrik, makan, kuota internet dan lain-lain\xe2\x80\xa6 https://t.co/0dC4RR1Xof'"
2022-06-08 01:27:39+00:00,candy,b'Aku sendiri di tempatkan di beda kabupaten/kota. Yang mana harus ngekost gak sanggup kalau harus pulang pergi denga\xe2\x80\xa6 https://t.co/ZTfXmPGEDk'
2022-06-08 01:25:41+00:00,candy,b'Pada angkatan 3 ini memiliki kebijakan yang berbeda. Yang mana kami ditempatkan di luar domisili kami. Entah itu di\xe2\x80\xa6 https://t.co/UCkZaque52'
2022-06-08 01:24:58+00:00,Gunadarma University,b'[GUNADARMA KAMPUS MERDEKA]\n\nSegenap sivitas akademika Universitas Gunadarma mengucapkan SELAMAT HARI RAYA GALUNGAN\xe2\x80\xa6 https://t.co/KRcuM0EmWd'
2022-06-13 03:55:21+00:00,lldikti3,b'Hallo #Threes!\nKali ini sosok inspiratif yang akan membagikan pengalaman berharganya! Algania Kurniawan dari Univer\xe2\x80\xa6 https://t.co/FL1U9NjDZV'
2022-06-12 10:57:54+00:00,UnivDarmaAgung,b'tetapi masyarakat juga bersama jajaran pemerintah desa dan kelurahan sangat mendukung gerakan Pencegahan Penyalahgu\xe2\x80\xa6 https://t.co/7J1yduX8qF'
2022-06-10 00:41:36+00:00,univ_alirsyad,"b'DOA MENGAWALI HARI\n\n""Ya Alloh, dengan Mu aku berpagi hari, dengan Mu aku bersore hari, dengan Mu kami hidup, dan de\xe2\x80\xa6 https://t.co/hhUEvvloUL'"
2022-06-09 06:53:41+00:00,unikomtwit,b':: Informasi Pendaftaran Panitia Seleksi (PANSEL) SATGAS Anti Kekerasan  Seksual UNIKOM ::\n\nPendaftaran dibuka mula\xe2\x80\xa6 https://t.co/DA3iNTnl84'
2022-06-09 00:40:26+00:00,echo_kilo_oscar,"b'Menentukan perangkat ajar terbaik menciptakan lingkungan belajar produktif, diskusikan dengan kami dgn menghubungi\xe2\x80\xa6 https://t.co/9t5Jox7dBo'"
2022-06-08 08:45:19+00:00,MICRA_Indo,b'\xf0\x9f\x93\xa2 Kampus kamu ingin menciptakan mahasiswa #pengusaha sukses?\n\n\xf0\x9f\x8e\x93#MICRA Indonesia membuka peluang bagi universitas un\xe2\x80\xa6 https://t.co/bjl1PyvR43'
2022-06-08 08:29:00+00:00,Moh4madZainudin,b'Info pendaftaran kuliah :\n081227576775\n.\n.\n.\n.\n.\n#semarang\n#semaranghebat\n#kampusmerdeka\n#merdekabelajar\n#pmb\xe2\x80\xa6 https://t.co/nYi4czWzFC'
2022-06-08 02:36:43+00:00,unikomtwit,"b'""BEM UNIKOM terpilih menjadi Koordinator Wilayah JABAR BEM SI 2022""\n\nBaca Selengkapnya: https://t.co/17SCLWKTJ6\xe2\x80\xa6 https://t.co/q1do6QErWC'"
2022-06-08 00:50:02+00:00,echo_kilo_oscar,"b'Merdeka Belajar yaitu membangun ekosistem pendidikan berbasis teknologi, berkolaborasi dengan lintas pihak, dan men\xe2\x80\xa6 https://t.co/bBOsLSfjRe'"
2022-06-07 09:34:13+00:00,UnivDarmaAgung,b'Dan juga agar semakin memperkuat pengenalan akan Universitas Darma Agung yang merupakan kampus tertua di Kota Medan\xe2\x80\xa6 https://t.co/C1S5rwqwWr'
